user_id,timestamp,dwell_mean,dwell_std,dwell_cv,flight_mean,flight_std,flight_cv,timing_entropy,total_duration,wpm,dg_th,dg_he,dg_qu,dg_br,dg_ow,dg_fo,dg_ju,dg_ov,dg_er,dg_la,dg_sp,tg_the,tg_bro,tg_own,tg_ove,tg_ver,kd_e,kd_o,kd_t,kd_h,kd_r,kd_u,kd_space,backspace_rate
user2,2026-02-24T19:36:36.333159,124.14,35.31,0.2844,333.31,297.52,0.8926,1.4066,13999.03,30.0,187.6,125.53,1051.82,242.04,222.9,215.74,199.95,308.64,208.4,158.43,197.43,313.13,472.17,375.91,421.49,321.24,165.63,111.11,92.79,109.41,113.11,91.17,116.72,0.0
user2,2026-02-24T19:37:07.437795,127.94,26.04,0.2036,242.8,103.56,0.4265,2.2934,10197.48,41.19,197.31,233.38,284.25,269.08,207.33,177.68,195.52,272.46,162.76,211.53,198.98,430.69,474.83,391.29,435.79,326.09,148.48,119.53,106.56,129.38,139.78,92.77,114.46,0.0
user2,2026-02-24T19:37:25.754284,125.03,28.42,0.2273,264.25,210.0,0.7947,1.3503,13617.93,30.84,201.82,174.65,240.77,229.01,201.76,242.1,189.76,241.44,193.98,221.29,208.4,376.47,504.23,407.45,356.84,309.37,164.53,105.32,105.11,117.94,134.36,102.17,112.16,0.0286
user2,2026-02-24T19:37:41.515602,129.33,29.43,0.2275,247.48,174.5,0.7051,1.1311,10394.36,40.41,230.08,136.79,231.43,168.16,218.17,233.51,206.23,303.69,179.86,147.85,206.14,366.86,493.09,416.75,436.23,312.4,168.9,117.94,110.01,142.87,124.86,98.66,113.53,0.0
user2,2026-02-24T19:39:47.108945,126.82,35.96,0.2835,256.0,120.91,0.4723,2.3585,10752.09,39.06,198.65,144.23,226.56,268.04,222.4,161.72,187.28,328.55,190.94,244.85,192.99,342.89,455.01,498.46,814.29,676.68,174.22,110.96,100.33,108.11,112.84,105.83,109.29,0.0
user2,2026-02-24T19:40:12.580731,125.52,30.44,0.2425,226.63,78.99,0.3485,2.2987,9518.46,44.12,217.91,334.91,258.6,181.07,199.54,234.54,193.82,275.88,175.01,237.57,195.22,552.83,441.23,368.33,447.55,346.69,152.1,115.37,97.66,115.77,126.64,91.17,110.48,0.0
user2,2026-02-24T19:40:29.489263,123.7,33.73,0.2727,255.96,175.1,0.6841,1.4986,11262.32,38.36,202.14,109.66,230.99,207.5,179.93,207.76,197.54,408.86,175.06,171.64,185.04,311.81,422.08,354.73,563.48,329.67,171.64,109.23,100.16,113.2,88.26,87.95,111.68,0.0278
user2,2026-02-24T19:41:02.385610,128.99,34.6,0.2682,238.33,90.98,0.3817,2.3474,10009.71,41.96,247.83,272.48,274.5,189.53,245.94,226.88,202.59,297.89,255.14,184.03,200.69,520.31,426.78,425.96,502.61,459.87,173.66,114.25,104.97,118.95,128.38,100.7,108.96,0.0
user2,2026-02-24T19:41:14.999798,134.38,34.38,0.2558,225.36,97.35,0.432,1.9263,9464.98,44.37,220.45,167.25,275.92,121.08,180.61,258.25,194.58,251.64,191.28,149.13,213.12,387.71,404.95,378.2,383.08,322.71,181.99,117.19,110.76,133.49,123.25,87.47,123.56,0.0
user2,2026-02-24T19:41:31.242961,125.89,34.4,0.2732,261.2,152.55,0.584,1.7925,10970.43,38.28,233.19,155.1,306.31,125.53,308.53,230.33,203.24,274.03,210.34,163.02,256.36,388.28,396.05,543.01,438.35,374.66,171.54,107.43,88.1,122.01,127.93,74.24,112.02,0.0
user2,2026-02-24T19:41:42.922815,135.45,41.11,0.3035,239.85,105.58,0.4402,2.135,10073.5,41.69,206.52,170.44,341.22,173.94,285.07,227.54,224.18,289.14,157.65,173.3,205.83,376.96,421.18,475.65,465.7,334.21,184.13,115.83,95.8,128.94,126.39,101.8,123.16,0.0
user2,2026-02-24T19:41:56.701439,127.29,29.78,0.234,218.62,80.25,0.3671,2.1585,9182.06,45.74,208.7,123.68,332.19,204.51,235.79,212.96,187.51,271.9,188.76,179.69,206.96,332.39,428.2,391.81,410.1,326.96,169.91,114.86,100.93,127.6,121.18,94.66,107.4,0.0
user2,2026-02-24T19:44:40.552984,121.14,31.96,0.2638,208.46,67.9,0.3257,2.4318,8755.49,47.97,206.31,134.29,236.24,175.03,190.15,206.22,175.24,297.32,130.07,173.65,190.18,340.6,395.8,358.66,468.16,300.9,156.66,106.49,97.7,116.95,126.22,81.93,103.6,0.0
user2,2026-02-24T19:44:52.349071,124.8,32.6,0.2612,225.91,113.13,0.5008,1.8367,9488.24,44.27,182.31,137.39,426.15,247.63,196.16,238.5,189.51,288.43,163.44,163.47,192.31,319.69,424.81,366.32,423.14,298.15,170.82,106.4,86.82,123.6,124.75,88.44,109.99,0.0
user2,2026-02-24T19:46:53.641530,116.7,28.35,0.2429,321.52,289.98,0.9019,1.228,14789.91,29.21,218.84,112.84,235.06,180.31,267.23,214.89,977.83,283.98,195.44,202.69,196.01,299.12,389.53,492.34,414.33,325.8,151.53,106.9,99.13,98.09,118.9,88.3,101.27,0.0556
